########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV
#Subset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;
#Superset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;trn_freight_road : Medium truck : Hybrid Liquids : million ton-km;trn_freight_road : Medium truck : Liquids : million ton-km;trn_freight_road : Medium truck : NG : million ton-km;
#Applied to: New Purchases
#Treatment: Across Selected
#Constraint: Lower
#Policy name: HDV-EV_New_Reg
#Market name: HDV-EV_New_Reg_Mkt24
#Regions: CA,CO,CT,DC,HI,MA,MD,ME,NC,NJ,NY,OR,PA,RI,VT,WA
#Table data:2025  ,  0.150
#Table data:2030  ,  0.320
#Table data:2035  ,  0.490
#Table data:2040  ,  0.660
#Table data:2045  ,  0.830
#Table data:2050  , 1.0
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
MA,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
MA,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
MA,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
MA,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
MA,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
MA,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
MA,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
MA,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
MA,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
MA,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
MA,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
MA,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
MA,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
MA,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
MA,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
MA,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
MA,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
MA,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
MA,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
MA,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
MA,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
MA,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
MA,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
MA,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
MA,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
MA,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
MD,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
MD,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
MD,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
MD,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
MD,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
MD,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
MD,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
MD,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
MD,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
MD,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
MD,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
MD,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
MD,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
MD,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
MD,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
MD,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
MD,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
MD,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
MD,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
MD,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
MD,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
MD,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
MD,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
MD,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
MD,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
MD,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
MD,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
MD,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
MD,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
MD,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
ME,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
ME,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
ME,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
ME,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
ME,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
ME,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
ME,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
ME,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
ME,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
ME,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
ME,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
ME,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
ME,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
ME,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
ME,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
ME,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
ME,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
ME,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
ME,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
ME,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
ME,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
ME,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
ME,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
ME,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
ME,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
ME,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
ME,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
ME,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
ME,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
ME,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
NC,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
NC,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
NC,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
NC,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
NC,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
NC,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
NC,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
NC,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
NC,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
NC,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
NC,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
NC,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
NC,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
NC,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
NC,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
NC,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
NC,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
NC,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
NC,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
NC,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
NC,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
NC,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
NC,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
NC,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
NC,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
NC,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
NC,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
NC,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
NC,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
NC,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
NJ,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
NJ,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
NJ,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
NJ,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
NJ,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
NJ,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
NJ,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
NJ,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
NJ,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
NJ,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
NJ,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
NJ,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
NJ,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
NJ,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
NJ,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
NJ,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
NJ,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
NJ,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
NJ,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
NJ,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
NJ,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
NJ,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
NJ,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
NJ,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
NJ,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
NJ,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
NJ,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
NJ,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
NJ,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
NJ,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
NY,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
NY,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
NY,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
NY,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
NY,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
NY,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
NY,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
NY,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
NY,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
NY,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
NY,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
NY,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
NY,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
NY,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
NY,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
NY,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
NY,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
NY,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
NY,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
NY,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
NY,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
NY,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
NY,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
NY,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
NY,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
NY,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
NY,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
NY,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
NY,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
NY,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
OR,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
OR,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
OR,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
OR,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
OR,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
OR,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
OR,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
OR,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
OR,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
OR,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
OR,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
OR,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
OR,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
OR,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
OR,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
OR,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
OR,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
OR,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
OR,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
OR,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
OR,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
OR,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
OR,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
OR,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
OR,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
OR,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
OR,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
OR,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
OR,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
OR,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
PA,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
PA,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
PA,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
PA,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
PA,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
PA,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
PA,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
PA,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
PA,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
PA,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
PA,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
PA,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
PA,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
PA,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
PA,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
PA,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
PA,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
PA,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
PA,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
PA,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
PA,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
PA,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
PA,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
PA,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
PA,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
PA,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
PA,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
PA,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
PA,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
PA,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
RI,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
RI,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
RI,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
RI,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
RI,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
RI,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
RI,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
RI,trn_freight_road,Medium truck,Hybrid Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
RI,trn_freight_road,Medium truck,Liquids,2030,HDV-EV_New_Reg24-2030,2030,0.32
RI,trn_freight_road,Medium truck,NG,2030,HDV-EV_New_Reg24-2030,2030,0.32
RI,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
RI,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,2035,0.49
RI,trn_freight_road,Medium truck,Hybrid Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
RI,trn_freight_road,Medium truck,Liquids,2035,HDV-EV_New_Reg24-2035,2035,0.49
RI,trn_freight_road,Medium truck,NG,2035,HDV-EV_New_Reg24-2035,2035,0.49
RI,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
RI,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,2040,0.66
RI,trn_freight_road,Medium truck,Hybrid Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
RI,trn_freight_road,Medium truck,Liquids,2040,HDV-EV_New_Reg24-2040,2040,0.66
RI,trn_freight_road,Medium truck,NG,2040,HDV-EV_New_Reg24-2040,2040,0.66
RI,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
RI,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,2045,0.83
RI,trn_freight_road,Medium truck,Hybrid Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
RI,trn_freight_road,Medium truck,Liquids,2045,HDV-EV_New_Reg24-2045,2045,0.83
RI,trn_freight_road,Medium truck,NG,2045,HDV-EV_New_Reg24-2045,2045,0.83
RI,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
RI,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,2050,1.0
RI,trn_freight_road,Medium truck,Hybrid Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
RI,trn_freight_road,Medium truck,Liquids,2050,HDV-EV_New_Reg24-2050,2050,1.0
RI,trn_freight_road,Medium truck,NG,2050,HDV-EV_New_Reg24-2050,2050,1.0
VT,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
VT,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,2025,0.15
VT,trn_freight_road,Medium truck,Hybrid Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
VT,trn_freight_road,Medium truck,Liquids,2025,HDV-EV_New_Reg24-2025,2025,0.15
VT,trn_freight_road,Medium truck,NG,2025,HDV-EV_New_Reg24-2025,2025,0.15
VT,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,2030,0.32
