########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV (light)
#Subset: trn_freight_road : Light truck : BEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : FCEV : million ton-km : Trn-Onroad;
#Superset: trn_freight_road : Light truck : BEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : FCEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : Hybrid Liquids : million ton-km : Trn-Onroad;trn_freight_road : Light truck : Liquids : million ton-km : Trn-Onroad;trn_freight_road : Light truck : NG : million ton-km : Trn-Onroad;
#Applied to: New Purchases
#Treatment: Each Selected Region
#Constraint: Lower
#Policy name: HDV-EV-light_New_Reg_Ea
#Market name: HDV-EV-light_New_Reg_Ea_Mkt
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025 , 0.167
#Table data:2030 , 0.333
#Table data:2035 , 0.500
#Table data:2040 , 0.667
#Table data:2045 , 0.833
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
NE,NE_HDV-EV-light_New_Reg_Ea-2025,NE_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
NE,NE_HDV-EV-light_New_Reg_Ea-2030,NE_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
NE,NE_HDV-EV-light_New_Reg_Ea-2035,NE_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
NE,NE_HDV-EV-light_New_Reg_Ea-2040,NE_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
NE,NE_HDV-EV-light_New_Reg_Ea-2045,NE_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
NH,NH_HDV-EV-light_New_Reg_Ea-2025,NH_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
NH,NH_HDV-EV-light_New_Reg_Ea-2030,NH_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
NH,NH_HDV-EV-light_New_Reg_Ea-2035,NH_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
NH,NH_HDV-EV-light_New_Reg_Ea-2040,NH_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
NH,NH_HDV-EV-light_New_Reg_Ea-2045,NH_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
NJ,NJ_HDV-EV-light_New_Reg_Ea-2025,NJ_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
NJ,NJ_HDV-EV-light_New_Reg_Ea-2030,NJ_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
NJ,NJ_HDV-EV-light_New_Reg_Ea-2035,NJ_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
NJ,NJ_HDV-EV-light_New_Reg_Ea-2040,NJ_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
NJ,NJ_HDV-EV-light_New_Reg_Ea-2045,NJ_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
NM,NM_HDV-EV-light_New_Reg_Ea-2025,NM_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
