MA,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
MA,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
MA,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
MA,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
MA,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
MA,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
MA,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
MA,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
MA,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
MA,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
MD,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
MD,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
MD,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
MD,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
MD,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
MD,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
MD,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
MD,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
MD,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
MD,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
ME,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
ME,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
ME,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
ME,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
ME,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
ME,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
ME,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
ME,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
ME,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
ME,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
MN,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
MN,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
MN,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
MN,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
MN,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
MN,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
MN,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
MN,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
MN,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
MN,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
NJ,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
NJ,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
